X             Y             Z             A             B             C             Azimuth       Dip           M             K             Population    Number        Rugosity      Length        Height        Area          Set
61433.2234    9563.2700     919.6207      -0.5809       0.8100        0.0804        324.36        85.39         5.3614        0.2141         894           87           0.0077        0.5143        0.5027        0.3024        Set4
61433.3983    9563.1385     924.3820      -0.3422       0.8955        0.2847        339.09        73.46         5.0872        0.5044         6262          109          0.0229        0.6726        1.4621        0.9072        Set4
61433.3356    9564.5826     924.9653      0.1745        0.9812        0.0821        10.08         85.29         4.6312        0.2224         1218          156          0.0106        0.3960        0.7014        0.3312        Set4
61433.3534    9565.9072     925.3136      0.2125        0.9771        0.0149        12.27         89.15         5.4713        0.0870         1560          161          0.0053        0.4295        0.4171        0.2160        Set4
61433.3033    9566.1875     924.2437      -0.1237       0.9466        0.2976        352.55        72.69         4.9808        0.8988         2165          163          0.0109        0.2726        0.6098        0.2448        Set4
61433.6849    9569.7539     920.2500      -0.1879       0.9445        0.2695        348.75        74.37         7.7374        0.8334         40288         177          0.0127        0.8350        3.0509        2.1888        Set4
61433.3743    9568.6753     920.1876      -0.3461       0.9326        0.1023        339.64        84.13         6.2802        0.4001         268           230          0.0044        0.2420        0.5241        0.2160        Set4
61433.5589    9566.0602     920.4554      -0.5486       0.8304        0.0978        326.55        84.39         6.0832        0.3406         2586          289          0.0069        0.5409        0.6839        0.3888        Set4
61433.5553    9568.1344     926.0892      0.0277        0.9973        0.0674        1.59          86.13         6.1033        0.4286         3674          301          0.0082        0.4432        0.9650        0.4896        Set4
61433.5520    9563.0110     923.1312      0.3178        -0.8876       0.3335        160.30        70.52         4.6722        0.5146         1331          333          0.0097        0.4236        0.3724        0.1872        Set4
61433.7473    9569.2348     921.4457      -0.2872       0.9152        0.2827        342.58        73.58         6.1288        0.7285         4038          383          0.0080        0.8689        0.5485        0.4320        Set4
61433.7050    9566.1642     921.6066      -0.5865       0.8013        0.1179        323.80        83.23         5.7317        0.4556         1377          442          0.0062        0.4781        0.4702        0.2304        Set4
61433.7816    9566.3243     919.9314      -0.5683       0.8091        0.1496        324.92        81.40         7.1855        0.2900         5481          444          0.0062        0.5815        1.1596        0.6912        Set4
61433.7627    9567.9689     924.1701      -0.2847       0.9322        0.2236        343.02        77.08         6.2100        0.5151         9952          464          0.0087        0.4682        1.1609        0.6480        Set4
61433.8092    9563.3073     923.3251      0.2695        -0.8900       0.3679        163.15        68.42         3.5856        0.3439         1725          496          0.0168        0.5117        0.3575        0.2160        Set4
61433.7723    9566.3506     921.9851      -0.2511       0.9419        0.2231        345.07        77.11         6.3514        0.4343         4037          518          0.0058        0.3646        0.6786        0.2448        Set4
61433.7360    9566.6924     922.4337      -0.4852       0.7824        0.3905        328.20        67.02         4.8953        0.0971         3183          524          0.0073        0.3882        0.3700        0.2160        Set4
61433.7793    9567.7359     924.7895      -0.3153       0.9317        0.1804        341.30        79.61         5.1556        0.1534         2530          526          0.0058        0.4008        0.3487        0.1728        Set4
61434.1202    9568.3996     926.1075      -0.3537       0.9043        0.2392        338.64        76.16         5.6652        0.1698         26124         533          0.0165        1.2464        1.4704        1.6704        Set4
61433.8789    9558.3815     922.0503      -0.4267       0.8464        0.3187        333.25        71.41         6.4359        0.3253         2780          547          0.0062        0.4411        0.7383        0.3888        Set4
61433.8413    9563.4847     922.4435      0.5745        -0.8157       0.0680        144.84        86.10         3.9324        0.5842         1470          571          0.0185        0.3556        0.6506        0.3168        Set4
61433.9981    9559.6509     918.8179      -0.1699       -0.9563       0.2378        190.07        76.24         4.1679        1.3566         2542          618          0.0217        0.5868        0.6823        0.3744        Set4
61433.9198    9568.9297     922.5592      -0.3747       0.9182        0.1287        337.80        82.61         6.3404        1.2644         12447         651          0.0138        0.3708        1.6355        0.5904        Set4
61434.5599    9570.0623     923.3027      -0.3751       0.8947        0.2425        337.26        75.96         6.6750        0.1880         110260        656          0.0173        1.6506        2.9205        3.7728        Set4
61433.9916    9563.6407     922.6136      0.5893        -0.7814       0.2053        142.98        78.15         5.1890        0.8757         826           694          0.0098        0.2766        0.5077        0.1872        Set4
61434.0030    9568.6011     923.5737      -0.3331       0.9132        0.2348        339.96        76.42         4.4197        0.4197         2103          725          0.0101        0.3773        0.4035        0.2160        Set4
61434.3028    9568.2636     925.0870      -0.4691       0.8636        0.1847        331.49        79.36         5.7222        0.1395         11018         768          0.0084        0.7935        0.6313        0.5904        Set4
61434.3478    9569.7096     921.3020      -0.1675       0.9121        0.3741        349.59        68.03         4.5052        1.9368         7427          777          0.0341        0.5111        1.5569        0.8208        Set4
61434.1815    9558.1732     923.0837      -0.3105       0.9046        0.2920        341.06        73.02         5.4477        1.0349         2826          792          0.0143        0.3656        1.3032        0.5472        Set4
61434.0896    9569.3303     921.9193      -0.0785       0.9768        0.1993        355.41        78.50         4.9723        0.3158         1369          842          0.0066        0.3352        0.3492        0.1584        Set4
61434.2371    9569.7844     922.1746      -0.3533       0.9008        0.2524        338.59        75.38         6.1838        0.3568         4803          843          0.0057        0.5614        0.4376        0.2592        Set4
61434.4129    9574.2185     919.5222      -0.4229       0.9033        0.0721        334.91        85.86         5.6408        0.4633         5502          969          0.0088        0.4581        0.6923        0.3168        Set4
61434.5370    9557.6080     922.8910      -0.4315       0.8142        0.3885        332.08        67.14         4.3411        0.8140         1360          984          0.0223        0.4761        0.8616        0.5328        Set4
61434.4526    9570.1200     920.8771      -0.1843       0.9616        0.2032        349.15        78.27         5.0702        0.1753         2476          1007         0.0066        0.3519        0.5151        0.2736        Set4
61434.6076    9568.6471     924.7361      -0.4468       0.8752        0.1857        332.95        79.30         5.1015        0.3107         1878          1044         0.0058        0.4533        0.3594        0.2160        Set4
61434.8188    9568.9153     926.8191      0.1325        0.9903        0.0425        7.62          87.57         7.1891        0.3163         7232          1092         0.0072        0.9233        1.3938        1.0944        Set4
61434.6371    9574.9288     919.8722      -0.5720       0.7515        0.3286        322.72        70.82         4.5121        0.2485         2732          1110         0.0123        0.4444        0.4702        0.2736        Set4
61434.7029    9569.4176     924.6038      -0.3522       0.9117        0.2114        338.88        77.80         6.2959        0.8248         3696          1134         0.0062        0.3180        0.6644        0.2304        Set4
61434.7269    9570.0880     921.3278      -0.2241       0.9506        0.2150        346.73        77.59         4.4353        0.3332         1587          1139         0.0084        0.2606        0.3923        0.1728        Set4
61434.9131    9575.5004     919.6362      -0.4772       0.8764        0.0652        331.43        86.26         7.7348        0.6113         11520         1157         0.0056        0.9662        1.0991        0.7344        Set4
61435.0140    9556.9853     922.8270      0.1282        0.9836        0.1272        7.43          82.69         5.9491        0.2935         6726          1164         0.0135        1.0174        1.4986        1.1664        Set4
