X             Y             Z             A             B             C             Azimuth       Dip           M             K             Population    Number        Rugosity      Length        Height        Area          Set
61432.7101    9561.9686     920.6682      -0.9627       0.2705        0.0006        285.70        89.96         4.1951        0.3436         543           4            0.0122        0.3210        0.4671        0.2160        Set3
61433.0802    9563.2202     919.2872      -0.7068       0.7052        0.0554        314.93        86.83         4.7079        0.3393         20730         6            0.0331        1.3076        2.4309        2.5920        Set3
61432.8241    9562.2589     921.2187      -0.9794       0.1927        0.0603        281.13        86.54         5.0357        0.7403         426           13           0.0109        0.5545        0.3696        0.2304        Set3
61432.7918    9562.3739     920.2688      0.9867        -0.1620       0.0158        99.33         89.10         4.6578        0.8287         513           19           0.0120        0.2313        0.5364        0.2016        Set3
61432.9424    9562.5378     918.3294      0.6898        -0.7123       0.1296        135.92        82.56         5.0383        0.1615         1810          22           0.0085        0.4169        0.7492        0.3888        Set3
61432.8461    9562.7779     920.7676      0.9222        -0.3806       0.0677        112.43        86.12         4.3156        0.5774         1923          26           0.0177        0.5492        0.6774        0.3744        Set3
61433.4440    9563.1443     922.9196      -0.8469       0.5316        0.0104        302.12        89.40         3.2629        0.4302         49500         31           0.1437        2.9182        3.2232        6.2928        Set3
61433.2663    9564.1224     920.0554      -0.9621       0.2707        0.0319        285.72        88.17         4.5871        0.7035         27405         38           0.0775        1.6115        3.2409        4.3344        Set3
61432.9252    9563.3185     918.1398      -0.7755       0.6068        0.1742        308.04        79.97         4.6057        0.2556         1707          40           0.0097        0.4568        0.5125        0.2592        Set3
61433.1335    9569.0130     918.5611      -0.7111       0.2656        0.6509        290.48        49.39         3.8996        0.2458         2394          56           0.0108        0.2797        0.3138        0.1584        Set3
61433.2002    9561.3571     923.0326      0.7296        -0.3219       0.6033        113.81        52.89         4.4411        0.1079         210           57           0.0076        0.3827        0.2647        0.1728        Set3
61433.3424    9569.4451     920.4418      -0.8399       0.4907        0.2318        300.29        76.60         4.7621        0.6889         19270         76           0.0346        0.9778        2.2355        1.8144        Set3
61433.2553    9569.8931     918.9273      -0.8635       0.2930        0.4106        288.74        65.76         4.0647        0.4729         4705          78           0.0211        0.5597        0.8667        0.4608        Set3
61433.2746    9561.0260     921.8676      0.8212        -0.5541       0.1365        124.01        82.15         4.1593        0.6343         1107          84           0.0124        0.3803        0.5992        0.2448        Set3
61433.3549    9561.9147     922.1967      0.9143        -0.3953       0.0879        113.38        84.95         3.6845        0.0708         4166          92           0.0305        1.0191        1.0567        1.0080        Set3
61433.2509    9564.8225     924.7874      0.7331        -0.3359       0.5914        114.62        53.75         4.6781        0.5731         449           110          0.0082        0.5472        0.1825        0.1872        Set3
61433.5614    9566.1054     920.2925      -0.8877       0.4570        0.0555        297.24        86.82         5.2678        0.8882         65667         117          0.0642        1.9414        4.0756        5.6304        Set3
61433.4415    9566.0645     923.4763      0.9165        -0.3295       0.2269        109.78        76.89         4.9012        0.7201         27835         123          0.0445        2.0219        1.8856        2.1312        Set3
61433.3123    9568.4438     919.1354      -0.9892       0.1084        0.0985        276.26        84.35         4.3153        0.3258         15882         128          0.0265        0.9435        1.3193        0.9648        Set3
61433.1716    9568.9176     918.9368      -0.9311       0.3437        0.1226        290.26        82.96         3.5109        0.5059         1303          131          0.0117        0.2620        0.3804        0.1584        Set3
61433.1977    9569.1921     919.2694      -0.9390       0.2961        0.1751        287.51        79.92         4.1182        3.7893         1914          134          0.0227        0.2573        0.7907        0.2880        Set3
61433.3680    9560.6891     921.3012      0.9376        -0.1920       0.2900        101.57        73.14         3.7015        0.4579         1510          148          0.0228        0.7382        0.7205        0.4608        Set3
61433.2984    9561.2908     918.7366      -0.9551       0.2955        0.0219        287.19        88.75         4.4101        1.5734         1006          158          0.0183        0.2652        0.7585        0.2880        Set3
61433.5285    9563.0119     924.8908      -0.5877       0.7488        0.3065        321.87        72.15         5.0825        0.6083         920           176          0.0106        0.5832        0.4530        0.2736        Set3
61433.3719    9565.1206     924.5910      0.8113        -0.3073       0.4974        110.75        60.17         4.4543        0.2752         1530          183          0.0143        0.5526        0.4154        0.3312        Set3
61433.4312    9565.5336     925.7597      -0.8982       0.3217        0.2995        289.71        72.57         4.2490        0.2360         913           192          0.0145        0.6455        0.5880        0.4176        Set3
61433.9068    9568.1696     923.8487      -0.9003       0.3522        0.2557        291.37        75.18         4.1007        0.3093         50486         199          0.0859        2.7367        2.9410        4.1184        Set3
61433.4509    9567.7713     925.7091      0.8174        -0.1532       0.5553        100.61        56.27         3.1608        0.3336         7084          201          0.0481        1.6560        0.9855        1.4976        Set3
61433.7053    9570.3423     919.3531      -0.9230       0.2511        0.2916        285.22        73.05         3.4332        1.3936         14291         212          0.0619        1.0047        1.6226        1.6128        Set3
61433.5695    9559.5551     923.5050      -0.6883       0.5446        0.4792        308.35        61.37         3.1700        0.6939         956           223          0.0328        0.5629        0.7268        0.4464        Set3
61433.4547    9564.9040     921.5793      -0.9444       0.3104        0.1080        288.20        83.80         4.8137        0.3914         3724          259          0.0234        0.8175        1.2319        0.8640        Set3
61433.4688    9566.2363     924.9191      0.7599        -0.5164       0.3948        124.20        66.74         3.8738        0.4089         808           273          0.0085        0.2763        0.3964        0.1584        Set3
61433.5579    9566.2913     922.4720      0.7977        -0.2639       0.5422        108.31        57.17         4.0822        0.2676         1604          274          0.0147        0.6478        0.4850        0.4464        Set3
61433.5577    9566.9658     924.5234      -0.9049       0.3222        0.2782        289.60        73.85         4.4444        0.5766         3942          277          0.0290        0.7231        1.2191        0.8496        Set3
61433.5240    9559.2277     922.3726      -0.9597       0.2415        0.1440        284.12        81.72         3.2392        0.9810         1620          300          0.0315        0.6101        0.7703        0.4464        Set3
61433.5776    9559.8519     920.4392      0.7286        -0.3209       0.6051        113.77        52.76         6.0952        0.9157         939           307          0.0091        0.7992        0.3369        0.4176        Set3
61433.4341    9565.7526     924.7581      0.9198        -0.2029       0.3357        102.44        70.38         4.9621        3.2272         216           331          0.0110        0.4510        0.2100        0.1728        Set3
61433.7053    9563.1560     924.8226      -0.8260       0.2123        0.5221        284.41        58.53         3.7177        0.8476         247           387          0.0148        0.2407        0.3851        0.1584        Set3
61433.7538    9563.7020     925.3213      0.7630        -0.5902       0.2637        127.72        74.71         3.1381        0.1000         268           389          0.0164        0.4218        0.3903        0.2016        Set3
61433.6110    9567.5563     923.7278      -0.9269       0.2873        0.2414        287.22        76.03         5.6745        0.7826         835           418          0.0057        0.2674        0.4466        0.1584        Set3
61433.6310    9567.8502     924.3545      -0.7939       0.5404        0.2788        304.24        73.81         4.2175        2.1007         1401          427          0.0182        0.2924        0.7251        0.1872        Set3
61433.7404    9571.5765     918.7311      -0.6017       0.1406        0.7863        283.15        38.16         4.2332        0.4190         1104          434          0.0117        0.7692        0.3087        0.3456        Set3
61434.1107    9557.8864     917.9546      -0.9328       0.1248        0.3382        277.62        70.24         3.4826        0.1371         6634          438          0.0478        1.3417        1.5638        1.5552        Set3
61433.8051    9568.9255     921.9973      -0.7463       0.6582        0.0991        311.41        84.31         4.0930        1.4256         3367          481          0.0220        0.3897        0.9196        0.3312        Set3
61434.1779    9569.3828     921.5930      -0.4966       0.5902        0.6365        319.92        50.47         3.8505        0.2639         4039          483          0.0273        0.9309        0.5974        0.6768        Set3
61433.9610    9559.1642     919.7295      0.7002        -0.3082       0.6439        113.76        49.91         6.0590        0.7486         935           504          0.0087        0.8654        0.3810        0.4608        Set3
61433.9004    9566.8465     922.4259      -0.7471       0.5641        0.3516        307.05        69.42         3.9411        0.2124         4990          521          0.0167        0.4682        0.5895        0.2736        Set3
61433.8605    9569.8073     923.0680      -0.3226       0.9153        0.2412        340.59        76.04         5.1827        7.2241         2039          541          0.0147        0.2938        0.9634        0.3024        Set3
61434.0630    9571.2659     919.9209      -0.9086       0.4103        0.0789        294.30        85.48         5.0605        0.4501         36439         543          0.0230        1.5293        1.2836        1.6272        Set3
61434.3319    9572.4194     919.7711      -0.8753       0.4318        0.2178        296.26        77.42         4.9701        0.3112         117482        547          0.0385        2.9186        1.9536        4.0752        Set3
61433.9044    9567.2991     920.8288      -0.9160       0.2167        0.3377        283.31        70.26         3.6260        1.0479         3111          581          0.0196        0.4906        0.6174        0.3456        Set3
61433.9896    9569.7639     923.5684      -0.5155       0.7879        0.3368        326.81        70.32         3.3257        0.6541         1914          592          0.0180        0.5682        0.3461        0.2736        Set3
61433.9393    9569.8201     920.4508      -0.8083       0.5810        0.0952        305.71        84.54         4.3394        0.4179         604           593          0.0114        0.2802        0.4114        0.1728        Set3
61434.0826    9570.1629     920.4187      -0.7868       0.3786        0.4876        295.70        60.82         4.0694        0.1878         738           595          0.0145        0.4838        0.5256        0.3744        Set3
61434.0568    9555.5148     917.3850      -0.9141       0.3859        0.1244        292.88        82.86         5.0212        1.0845         966           607          0.0089        0.4738        0.3205        0.2016        Set3
61434.3637    9556.0895     920.7841      -0.7451       0.5944        0.3026        308.58        72.38         4.0269        0.7525         4487          610          0.0370        1.1527        1.0738        1.0368        Set3
61434.0673    9568.2804     926.4002      -0.5694       0.7922        0.2198        324.29        77.30         6.5692        1.7599         537           656          0.0055        0.2539        0.6003        0.2016        Set3
61434.0126    9569.7198     922.3153      0.8746        -0.1804       0.4499        101.66        63.26         5.3500        0.3270         246           663          0.0092        0.4809        0.3565        0.2304        Set3
61434.0964    9569.6385     920.9968      -0.2538       0.9363        0.2427        344.83        75.95         7.0234        1.8847         127           666          0.0042        0.1270        0.6097        0.1584        Set3
61434.1468    9555.4885     917.8932      -0.9572       0.2241        0.1830        283.18        79.46         4.8109        0.4100         1307          678          0.0090        0.3534        0.5039        0.2016        Set3
61434.1715    9556.2017     917.9182      -0.9462       0.3223        0.0300        288.81        88.28         4.1659        0.0683         2834          681          0.0144        0.4983        0.6607        0.4032        Set3
61434.1681    9556.8922     918.5232      -0.9770       0.1904        0.0965        281.03        84.46         5.7971        0.8801         2598          684          0.0165        0.6995        1.4934        0.9072        Set3
61434.1385    9557.2784     920.0485      0.9364        -0.2584       0.2373        105.43        76.27         4.2695        0.2886         958           688          0.0136        0.5474        0.4939        0.2736        Set3
61434.2725    9558.8483     918.6193      0.9491        -0.2383       0.2059        104.10        78.12         3.5950        0.8122         5664          700          0.0554        1.3144        1.3485        1.3392        Set3
61434.1641    9574.0448     919.2891      -0.9138       0.3533        0.2002        291.14        78.45         4.4855        0.2954         4073          728          0.0152        0.5139        0.7197        0.3888        Set3
61435.5492    9575.6486     921.5965      -0.8232       0.5426        0.1670        303.39        80.39         5.1239        0.1227         296810        730          0.0561        4.3549        4.5556        12.5136       Set3
61434.1941    9555.5210     918.6666      0.7697        -0.6338       0.0770        129.47        85.58         4.0689        1.8908         2426          731          0.0127        0.2367        0.6500        0.2592        Set3
